JDAY,SEG   2,SEG   3,SEG   4,SEG   5,SEG   6,SEG   7,SEG   8,SEG   9,SEG  10,SEG  11,SEG  12,SEG  13,SEG  14,SEG  15,SEG  16,SEG  17,SEG  18,SEG  19,SEG  20,SEG  21,SEG  22,SEG  23,SEG  24,SEG  25,SEG  26,SEG  27,SEG  28,SEG  29,SEG  30,SEG  31,SEG  32,SEG  33,SEG  34,SEG  35,SEG  36,SEG  37,SEG  38,SEG  39,SEG  40,SEG  41,SEG  42,SEG  43,SEG  44,SEG  45,SEG  46,SEG  47,SEG  48,SEG  49,SEG  50,SEG  51,SEG  52,SEG  55,SEG  56,SEG  57,SEG  58,SEG  61,SEG  62,SEG  63,SEG  64,SEG  65,SEG  66,SEG  67,SEG  68,SEG  69,SEG  70,SEG  73,SEG  74,SEG  75,SEG  76,SEG  77,SEG  78,SEG  79,SEG  80,SEG  81,SEG  82,SEG
    94.000, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.873, 708.873, 708.873, 708.873, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872,
    94.042, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.875, 708.882, 708.875, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.873, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.873, 708.873, 708.873, 708.873, 708.873, 708.874, 708.877, 708.883, 708.877, 708.874, 708.873, 708.873, 708.873, 708.873, 708.873, 708.875, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.873, 708.873, 708.874, 708.876, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.872, 708.873, 708.873,
    94.091, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.873, 708.875, 708.875, 708.875, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874, 708.875, 708.875, 708.875, 708.875, 708.874, 708.874, 708.874, 708.874, 708.874, 708.874,
    94.125, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.873, 708.876, 708.876, 708.876, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875, 708.875,
    94.167, 708.876, 708.876, 708.876, 708.876, 708.876, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.873, 708.877, 708.877, 708.877, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876, 708.876,
    94.228, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.873, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877, 708.877,
    94.253, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.879, 708.879, 708.878, 708.879, 708.879, 708.879, 708.879, 708.879, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.873, 708.879, 708.879, 708.879, 708.877, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878, 708.878,
    94.292, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.873, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879, 708.879,
    94.343, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.873, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880, 708.880,
    94.388, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.873, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881, 708.881,
